Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,FIGI,SecurityType
MMM,3M,reports,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",09/08/1976,66740,1902,BBG000BP52R2,Common Stock
AOS,A. O. Smith,reports,Industrials,Building Products,"Milwaukee, Wisconsin",26/07/2017,91142,1916,BBG000BC1L02,Common Stock
ABT,Abbott,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",31/03/1964,1800,1888,BBG000B9ZXB4,Common Stock
ABBV,AbbVie,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",31/12/2012,1551152,2013 (1888),BBG0025Y4RY4,Common Stock
ABMD,Abiomed,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",31/05/2018,815094,1981,BBG000C101X4,Common Stock
ACN,Accenture,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",06/07/2011,1467373,1989,BBG000D9D830,Common Stock
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",31/08/2015,718877,2008,BBG000CVWGS6,Common Stock
ADM,ADM,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",29/07/1981,7084,1902,BBG000BB6WG8,Common Stock
ADBE,Adobe,reports,Information Technology,Application Software,"San Jose, California",05/05/1997,796343,1982,BBG000BB5006,Common Stock
ADP,ADP,reports,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",31/03/1981,8670,1949,BBG000JG0547,Common Stock
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",09/07/2015,1158449,1932,BBG000F7RCJ1,Common Stock
AES,AES,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",02/10/1998,874761,1981,BBG000C23KJ3,Common Stock
AFL,Aflac,reports,Financials,Life & Health Insurance,"Columbus, Georgia",28/05/1999,4977,1955,BBG000BBBNC6,Common Stock
A,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",05/06/2000,1090872,1999,BBG000C2V3D6,Common Stock
AIG,AIG,reports,Financials,Property & Casualty Insurance,"New York City, New York",31/03/1980,5272,1919,BBG000BBDZG3,Common Stock
APD,Air Products,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",30/04/1985,2969,1940,BBG000BC4JJ4,Common Stock
AKAM,Akamai,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",12/07/2007,1086222,1998,BBG000BJQWD2,Common Stock
ALK,Alaska Air Group,reports,Industrials,Airlines,"Seattle, Washington",13/05/2016,766421,1985,BBG000BBL0Y1,Common Stock
ALB,Albemarle,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",01/07/2016,915913,1994,BBG000BJ26K7,Common Stock
ARE,Alexandria,reports,Real Estate,Office REITs,"Pasadena, California",20/03/2017,1035443,1994,BBG000BC33T9,REIT
ALGN,Align,reports,Health Care,Health Care Supplies,"San Jose, California",19/06/2017,1097149,1997,BBG000BRNLL2,Common Stock
ALLE,Allegion,reports,Industrials,Building Products,"New York City, New York",02/12/2013,1579241,1908,BBG003PS7JV1,Common Stock
LNT,Alliant Energy,reports,Utilities,Electric Utilities,"Madison, Wisconsin",01/07/2016,352541,1917,BBG000DW4Q75,Common Stock
ALL,Allstate,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",13/07/1995,899051,1931,BBG000BVMGF2,Common Stock
GOOGL,Alphabet (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",03/04/2014,1652044,1998,BBG009S39JX6,Common Stock
GOOG,Alphabet (Class C),reports,Communication Services,Interactive Media & Services,"Mountain View, California",03/04/2006,1652044,1998,BBG009S3NB30,Common Stock
MO,Altria,reports,Consumer Staples,Tobacco,"Richmond, Virginia",04/03/1957,764180,1985,BBG000BP6LJ8,Common Stock
AMZN,Amazon,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",18/11/2005,1018724,1994,BBG000BVPV84,Common Stock
AMCR,Amcor,reports,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",07/06/2019,1748790,2019 (1860),BBG00LNJRQ09,Common Stock
AMD,AMD,reports,Information Technology,Semiconductors,"Santa Clara, California",,2488,1969,BBG000BBQCY0,Common Stock
AEE,Ameren,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",19/09/1991,1002910,1902,BBG000B9X8C0,Common Stock
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",23/03/2015,6201,1934,BBG005P7Q881,Common Stock
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",04/03/1957,4904,1906,BBG000BB9KF2,Common Stock
AXP,American Express,reports,Financials,Consumer Finance,"New York City, New York",30/06/1976,4962,1850,BBG000BCQZS4,Common Stock
AMT,American Tower,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",19/11/2007,1053507,1995,BBG000B9XYV2,REIT
AWK,American Water,reports,Utilities,Water Utilities,"Camden, New Jersey",04/03/2016,1410636,1886,BBG000TRJ294,Common Stock
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",03/10/2005,820027,1894,BBG000G3QLY3,Common Stock
ABC,AmerisourceBergen,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",30/08/2001,1140859,1985,,
AME,Ametek,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",23/09/2013,1037868,1930,BBG000B9XG87,Common Stock
AMGN,Amgen,reports,Health Care,Biotechnology,"Thousand Oaks, California",02/01/1992,318154,1980,BBG000BBS2Y0,Common Stock
APH,Amphenol,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",30/09/2008,820313,1932,BBG000B9YJ35,Common Stock
ADI,Analog Devices,reports,Information Technology,Semiconductors,"Wilmington, Massachusetts",12/10/1999,6281,1965,BBG000BB6G37,Common Stock
ANSS,Ansys,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",19/06/2017,1013462,1969,BBG000GXZ4W7,Common Stock
